[20:18:08] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[20:18:08] [INIT] Loaded plugins:
[20:18:08] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[20:18:08] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[20:18:08] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[20:18:08] [INFO] Loaded script startup_scripts:example.js in 0.047 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_up.js in 0.008 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_down.js in 0.001 s
[20:18:08] [INFO] addonpack_alienevo:kubejs_scripts/wall_run.js#1: Loaded Java class 'net.minecraft.world.level.ClipContext'
[20:18:08] [INFO] addonpack_alienevo:kubejs_scripts/wall_run.js#51: Loaded Java class 'net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket'
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run.js in 0.015 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_small.js in 0.008 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_move_condition.js in 0.001 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_condition.js in 0.001 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb.js in 0.005 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/transform.js in 0.019 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/store_armor.js in 0.003 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/stat_ability.js in 0.002 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/spawn_particles_block.js in 0.009 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/sounds.js in 0.003 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/slot_transform.js in 0.028 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/screen_shake.js in 0.005 s
[20:18:08] [INFO] addonpack_alienevo:kubejs_scripts/rolling_mechanics.js#117: Loaded Java class 'net.minecraft.world.entity.LivingEntity'
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/rolling_mechanics.js in 0.092 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/recharge.js in 0.002 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change_wheel_condition.js in 0.001 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change.js in 0.002 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/pyro_surf.js in 0.002 s
[20:18:08] [INFO] addonpack_alienevo:kubejs_scripts/projectile.js#2: Loaded Java class 'net.minecraft.world.phys.Vec3'
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/projectile.js in 0.005 s
[20:18:08] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/predator_vision.js in 0.004 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/playlist_cycle.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ore_detect.js in 0.006 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_timer.js in 0.008 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle_animation.js in 0.003 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle.js in 0.004 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omni_properties.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_water.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_to_entity.js in 0.005 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_dash.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/items.js in 0.003 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/is_alien.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/invulnerable.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/infinity.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ice_layer.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/hunger_fix.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ground_slam.js in 0.006 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/grapple.js in 0.005 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/goo_fire.js in 0.004 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/glow_crystals.js in 0.004 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/glide.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/galvan_blueprints.js in 0.003 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/freeze_immunity.js in 0.0 s
[20:18:09] [INFO] addonpack_alienevo:kubejs_scripts/flatten.js#1: Loaded Java class 'virtuoel.pehkui.api.ScaleTypes'
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/flatten.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/fire_immunity.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/fire_absorb.js in 0.009 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/explosion.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/entity_damage.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/draganoid.js in 0.003 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/directional_damage.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/diamond_creation.js in 0.012 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/detransform.js in 0.005 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/decouple.js in 0.015 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/damage_effect.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/cycle_sounds.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/current_alien_nickname_condition.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/crystal_pillar.js in 0.009 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/core_removal.js in 0.007 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/color_modules.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/codes.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/charge_leap.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/bounce.js in 0.002 s
[20:18:09] [INFO] addonpack_alienevo:kubejs_scripts/blocks.js#1: Loaded Java class 'net.minecraft.nbt.CompoundTag'
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/blocks.js in 0.008 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/block_wave.js in 0.002 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/behind.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/astro_powers.js in 0.003 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alienevo_watch_condition.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alienevo_color_condition.js in 0.001 s
[20:18:09] [INFO] addonpack_alienevo:kubejs_scripts/alien_codex.js#1: Loaded Java class 'net.minecraft.network.chat.Component'
[20:18:09] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alien_codex.js in 0.015 s
[20:18:09] [INFO] Loaded script addonpack_afomni:kubejs_scripts/new_ice_block.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_afomni:kubejs_scripts/leap_vax.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_afomni:kubejs_scripts/is_mainhand.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_afomni:kubejs_scripts/freezing_effect.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_afomni:kubejs_scripts/chroma_leap.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_afomni:kubejs_scripts/aoe_damage.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/teleport.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/telekinesis.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/nullvoid_soil.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/alien_codex.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/teleport_ability.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/property_abilitie.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/prevent_eat.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/new_ability.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/height.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/has_property.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/entity_damage.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/effects/paralized.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/effects/nano_health_spray.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/effects/blood.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/effects/blind.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/destroy.js in 0.0 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/bosa_scoreboard.js in 0.001 s
[20:18:09] [INFO] Loaded script addonpack_satsu_iron_man_addon:kubejs_scripts/armor_durability.js in 0.003 s
[20:18:09] [INFO] addonpack_grave.core:kubejs_scripts/telekinesis.js#3: Loaded Java class 'net.minecraft.world.entity.projectile.ProjectileUtil'
